country,year,age_group,sex,any_common_mentions,unique_records,records_with_multiple_subcodes
US,2019,30-34,F,17,16,1
US,2019,75-79,F,674,633,39
US,2019,70-74,F,596,548,46
US,2019,35-39,F,46,43,3
US,2019,50-54,M,165,159,6
US,2019,50-54,F,146,133,13
US,2019,65-69,M,646,611,35
US,2019,45-49,M,112,102,9
US,2019,80-84,F,795,724,67
US,2019,55-59,F,268,251,17
US,2019,40-44,F,65,58,6
US,2019,55-59,M,306,287,18
US,2019,40-44,M,63,59,3
US,2019,0-4,F,6,6,0
US,2019,45-49,F,98,91,7
US,2019,30-34,M,30,28,2
US,2019,10-14,M,0,0,0
US,2019,25-29,M,21,17,3
US,2019,15-19,M,3,3,0
US,2019,20-24,M,5,5,0
US,2019,25-29,F,11,11,0
US,2019,20-24,F,7,7,0
US,2019,5-9,M,1,1,0
US,2019,10-14,F,3,3,0
US,2019,15-19,F,1,1,0
US,2019,5-9,F,1,1,0
US,2020,85+,F,2298,2050,240
US,2020,60-64,M,514,487,25
US,2020,35-39,F,44,42,2
US,2020,55-59,F,258,240,17
US,2020,65-69,M,707,648,54
US,2020,20-24,M,4,4,0
US,2020,75-79,M,914,842,69
US,2020,75-79,F,746,678,64
US,2020,85+,M,1616,1469,134
US,2020,70-74,F,631,595,34
US,2020,65-69,F,551,505,44
US,2020,55-59,M,357,334,22
US,2020,80-84,F,812,736,72
US,2020,45-49,F,106,103,3
US,2020,60-64,F,411,392,18
US,2020,50-54,F,176,169,6
US,2020,70-74,M,893,835,54
US,2020,5-9,M,3,3,0
US,2020,45-49,M,117,109,8
US,2020,30-34,F,30,28,2
US,2020,25-29,M,24,24,0
US,2020,80-84,M,902,829,72
US,2020,20-24,F,3,3,0
US,2020,50-54,M,210,197,12
US,2020,30-34,M,29,29,0
US,2020,35-39,M,52,50,2
US,2020,40-44,F,60,56,4
US,2020,0-4,M,9,9,0
US,2020,15-19,M,4,4,0
US,2020,40-44,M,91,88,3
US,2020,25-29,F,16,15,1
US,2020,0-4,F,7,7,0
US,2020,15-19,F,2,2,0
US,2020,10-14,M,4,4,0
US,2020,10-14,F,4,4,0
US,2020,5-9,F,1,1,0
US,2021,80-84,F,900,815,79
US,2021,65-69,M,788,730,54
US,2021,50-54,F,179,171,8
US,2021,75-79,M,1047,966,73
US,2021,85+,M,1769,1591,172
US,2021,60-64,M,582,552,28
US,2021,75-79,F,854,786,62
US,2021,80-84,M,974,889,80
US,2021,85+,F,2337,2088,236
US,2021,30-34,M,35,33,2
US,2021,55-59,M,387,366,17
US,2021,50-54,M,214,207,7
US,2021,70-74,F,817,749,62
US,2021,60-64,F,445,419,25
US,2021,65-69,F,654,607,46
US,2021,20-24,M,12,12,0
US,2021,70-74,M,1043,970,69
US,2021,55-59,F,275,261,13
US,2021,25-29,M,13,13,0
US,2021,40-44,M,70,64,6
US,2021,45-49,F,101,94,6
US,2021,40-44,F,63,59,4
US,2021,35-39,M,59,58,1
US,2021,45-49,M,144,132,10
US,2021,35-39,F,59,53,6
US,2021,15-19,M,4,4,0
US,2021,30-34,F,40,37,2
US,2021,20-24,F,3,3,0
US,2021,15-19,F,2,2,0
US,2021,0-4,M,7,7,0
US,2021,0-4,F,11,11,0
US,2021,25-29,F,16,14,1
US,2021,10-14,M,1,1,0
US,2021,5-9,M,0,0,0
US,2021,10-14,F,0,0,0
US,2021,5-9,F,0,0,0
US,2022,85+,M,1724,1580,131
US,2022,65-69,M,774,719,51
US,2022,60-64,M,581,551,29
US,2022,70-74,F,814,760,50
US,2022,85+,F,2316,2072,226
US,2022,40-44,F,88,84,4
US,2022,75-79,M,1146,1064,78
US,2022,80-84,F,947,870,71
US,2022,75-79,F,915,846,65
US,2022,50-54,M,240,228,11
US,2022,80-84,M,1023,929,86
US,2022,35-39,M,64,60,3
US,2022,20-24,M,14,12,2
US,2022,25-29,F,16,16,0
US,2022,55-59,M,427,400,25
US,2022,60-64,F,467,446,20
US,2022,45-49,F,104,98,5
US,2022,70-74,M,1034,956,76
US,2022,30-34,F,38,36,2
US,2022,65-69,F,642,606,36
US,2022,50-54,F,200,189,11
US,2022,55-59,F,313,292,19
US,2022,45-49,M,144,138,6
US,2022,40-44,M,89,87,2
US,2022,20-24,F,17,15,2
US,2022,0-4,M,16,15,1
US,2022,0-4,F,15,15,0
US,2022,25-29,M,23,22,1
US,2022,35-39,F,55,54,1
US,2022,30-34,M,39,38,1
US,2022,15-19,M,6,6,0
US,2022,15-19,F,3,3,0
US,2022,10-14,M,2,2,0
US,2022,10-14,F,0,0,0
US,2022,5-9,F,0,0,0
US,2022,5-9,M,0,0,0
US,2023,65-69,F,673,621,48
US,2023,70-74,F,857,798,56
US,2023,50-54,F,169,164,5
US,2023,55-59,M,360,340,20
US,2023,85+,M,1748,1591,154
US,2023,85+,F,2371,2113,247
US,2023,80-84,F,986,912,71
US,2023,75-79,F,972,889,78
US,2023,75-79,M,1138,1056,81
